,product_code,warehouse,year,month,week,date,order_demand
0,0012,Whse_C,2012,1,5,2012-01-30,1000.0
1,0012,Whse_C,2012,3,9,2012-03-01,1000.0
2,0012,Whse_C,2012,3,12,2012-03-22,1000.0
3,0012,Whse_C,2012,5,21,2012-05-25,1000.0
4,0012,Whse_C,2012,7,28,2012-07-09,5000.0
5,0012,Whse_C,2012,7,30,2012-07-23,5000.0
6,0012,Whse_C,2012,7,30,2012-07-27,1000.0
7,0012,Whse_C,2012,8,33,2012-08-16,7000.0
8,0012,Whse_C,2012,8,35,2012-08-28,1000.0
9,0012,Whse_C,2012,9,37,2012-09-13,1000.0
10,0012,Whse_C,2012,9,38,2012-09-17,3000.0
11,0012,Whse_C,2012,10,41,2012-10-10,1000.0
12,0012,Whse_C,2012,10,42,2012-10-18,1000.0
13,0012,Whse_C,2012,12,49,2012-12-05,3000.0
14,0012,Whse_C,2013,1,4,2013-01-23,3000.0
15,0012,Whse_C,2013,3,10,2013-03-05,1000.0
16,0012,Whse_C,2013,3,13,2013-03-27,4000.0
17,0012,Whse_C,2013,4,15,2013-04-11,5000.0
18,0012,Whse_C,2013,5,19,2013-05-06,6000.0
19,0012,Whse_C,2013,5,22,2013-05-28,1000.0
20,0012,Whse_C,2013,7,29,2013-07-15,1000.0
21,0012,Whse_C,2013,7,29,2013-07-19,4000.0
22,0012,Whse_C,2013,7,30,2013-07-26,3000.0
23,0012,Whse_C,2013,8,32,2013-08-07,1000.0
24,0012,Whse_C,2013,8,35,2013-08-26,1000.0
25,0012,Whse_C,2013,8,35,2013-08-27,1000.0
26,0012,Whse_C,2013,9,36,2013-09-05,5000.0
27,0012,Whse_C,2013,10,41,2013-10-08,1000.0
28,0012,Whse_C,2013,10,42,2013-10-15,1000.0
29,0012,Whse_C,2013,10,42,2013-10-17,1000.0
30,0012,Whse_C,2013,11,48,2013-11-26,1000.0
31,0012,Whse_C,2013,12,49,2013-12-03,1000.0
32,0012,Whse_C,2013,12,50,2013-12-09,1000.0
33,0012,Whse_C,2013,12,50,2013-12-12,1000.0
34,0012,Whse_C,2013,12,52,2013-12-27,1000.0
35,0012,Whse_C,2014,1,1,2014-01-02,2000.0
36,0012,Whse_C,2014,1,4,2014-01-23,5000.0
37,0012,Whse_C,2014,2,7,2014-02-13,3000.0
38,0012,Whse_C,2014,3,11,2014-03-10,1000.0
39,0012,Whse_C,2014,3,11,2014-03-14,1000.0
40,0012,Whse_C,2014,4,14,2014-04-02,1000.0
41,0012,Whse_C,2014,4,16,2014-04-18,1000.0
42,0012,Whse_C,2014,5,20,2014-05-15,1000.0
43,0012,Whse_C,2014,5,22,2014-05-28,1000.0
44,0012,Whse_C,2014,6,23,2014-06-03,1000.0
45,0012,Whse_C,2014,6,23,2014-06-06,4000.0
46,0012,Whse_C,2014,6,26,2014-06-26,1000.0
47,0012,Whse_C,2014,7,28,2014-07-10,1000.0
48,0012,Whse_C,2014,7,31,2014-07-31,6000.0
49,0012,Whse_C,2014,8,32,2014-08-08,2000.0
50,0012,Whse_C,2014,8,34,2014-08-20,1000.0
51,0012,Whse_C,2014,8,35,2014-08-26,1000.0
52,0012,Whse_C,2014,9,39,2014-09-23,1000.0
