warehouse,product_code,year,month,week,date,order_demand
Whse_C,Product_0033,2012,1,1,2012-01-03,1000.0
Whse_C,Product_0100,2012,1,1,2012-01-03,3000.0
Whse_C,Product_0125,2012,1,1,2012-01-03,1.0
Whse_C,Product_0191,2012,1,1,2012-01-03,60.0
Whse_C,Product_0202,2012,1,1,2012-01-03,4122.0
Whse_C,Product_0209,2012,1,1,2012-01-03,150.0
Whse_C,Product_0249,2012,1,1,2012-01-03,1400.0
Whse_C,Product_0349,2012,1,1,2012-01-03,200.0
Whse_C,Product_0412,2012,1,1,2012-01-03,5.0
Whse_C,Product_0453,2012,1,1,2012-01-03,82.0
Whse_C,Product_0463,2012,1,1,2012-01-03,34.0
Whse_C,Product_0491,2012,1,1,2012-01-03,20.0
Whse_C,Product_0495,2012,1,1,2012-01-03,12.0
Whse_C,Product_0620,2012,1,1,2012-01-03,5.0
Whse_C,Product_0642,2012,1,1,2012-01-03,6.0
Whse_C,Product_0863,2012,1,1,2012-01-03,2000.0
Whse_C,Product_0879,2012,1,1,2012-01-03,70.0
Whse_C,Product_0905,2012,1,1,2012-01-03,100.0
Whse_C,Product_1132,2012,1,1,2012-01-03,600.0
Whse_C,Product_1195,2012,1,1,2012-01-03,30000.0
Whse_C,Product_1198,2012,1,1,2012-01-03,3000.0
Whse_C,Product_1263,2012,1,1,2012-01-03,10000.0
Whse_C,Product_1278,2012,1,1,2012-01-03,10000.0
Whse_C,Product_1341,2012,1,1,2012-01-03,54000.0
Whse_C,Product_1342,2012,1,1,2012-01-03,20000.0
Whse_C,Product_1350,2012,1,1,2012-01-03,10000.0
Whse_C,Product_1404,2012,1,1,2012-01-03,1000.0
Whse_C,Product_1407,2012,1,1,2012-01-03,5000.0
Whse_C,Product_1432,2012,1,1,2012-01-03,53000.0
Whse_C,Product_1439,2012,1,1,2012-01-03,1000.0
Whse_C,Product_1450,2012,1,1,2012-01-03,3000.0
Whse_C,Product_1468,2012,1,1,2012-01-03,3000.0
Whse_C,Product_1494,2012,1,1,2012-01-03,3700.0
Whse_C,Product_1521,2012,1,1,2012-01-03,5000.0
Whse_C,Product_1545,2012,1,1,2012-01-03,10000.0
Whse_C,Product_1593,2012,1,1,2012-01-03,1000.0
Whse_C,Product_1601,2012,1,1,2012-01-03,2000.0
Whse_C,Product_1823,2012,1,1,2012-01-03,35000.0
Whse_C,Product_1847,2012,1,1,2012-01-03,1000.0
Whse_C,Product_1991,2012,1,1,2012-01-03,300.0
Whse_C,Product_2021,2012,1,1,2012-01-03,200.0
Whse_C,Product_2138,2012,1,1,2012-01-03,1020.0
Whse_C,Product_2165,2012,1,1,2012-01-03,50.0
Whse_C,Product_0083,2012,1,1,2012-01-04,15000.0
Whse_C,Product_0094,2012,1,1,2012-01-04,50000.0
Whse_C,Product_1247,2012,1,1,2012-01-04,42000.0
Whse_C,Product_1270,2012,1,1,2012-01-04,4000.0
Whse_C,Product_1394,2012,1,1,2012-01-04,50000.0
Whse_C,Product_1439,2012,1,1,2012-01-04,18000.0
Whse_C,Product_1480,2012,1,1,2012-01-04,25000.0
Whse_C,Product_0021,2012,1,1,2012-01-05,500.0
Whse_C,Product_0191,2012,1,1,2012-01-05,4050.0
Whse_C,Product_0192,2012,1,1,2012-01-05,3.0
Whse_C,Product_0193,2012,1,1,2012-01-05,3000.0
Whse_C,Product_0194,2012,1,1,2012-01-05,2880.0
Whse_C,Product_0195,2012,1,1,2012-01-05,1000.0
Whse_C,Product_0200,2012,1,1,2012-01-05,12.0
Whse_C,Product_0202,2012,1,1,2012-01-05,1400.0
Whse_C,Product_0208,2012,1,1,2012-01-05,144.0
Whse_C,Product_0209,2012,1,1,2012-01-05,282.0
Whse_C,Product_0213,2012,1,1,2012-01-05,770.0
Whse_C,Product_0312,2012,1,1,2012-01-05,2.0
Whse_C,Product_0342,2012,1,1,2012-01-05,16.0
Whse_C,Product_0443,2012,1,1,2012-01-05,12.0
Whse_C,Product_0491,2012,1,1,2012-01-05,2.0
Whse_C,Product_0894,2012,1,1,2012-01-05,200.0
Whse_C,Product_1342,2012,1,1,2012-01-05,7000.0
Whse_C,Product_1394,2012,1,1,2012-01-05,20000.0
Whse_C,Product_1403,2012,1,1,2012-01-05,10000.0
Whse_C,Product_1439,2012,1,1,2012-01-05,15000.0
